Baud rate 2400, low carrier filter 1, 2dB boost
Frequency, Gain (dB), Gain (linear), Half gain (linear)
    0.0000, 0.3367171817, 1.03953, 1.31354
    8.0000, 0.3366986704, 1.03952, 1.31346
   16.0000, 0.3366433208, 1.03952, 1.31321
   24.0000, 0.3365516850, 1.03951, 1.31279
   32.0000, 0.3364246815, 1.03949, 1.31221
   40.0000, 0.3362635921, 1.03947, 1.31146
   48.0000, 0.3360700579, 1.03945, 1.31055
   56.0000, 0.3358460740, 1.03942, 1.30947
   64.0000, 0.3355939837, 1.03939, 1.30822
   72.0000, 0.3353164707, 1.03936, 1.30682
   80.0000, 0.3350165506, 1.03932, 1.30525
   88.0000, 0.3346975618, 1.03929, 1.30351
   96.0000, 0.3343631546, 1.03925, 1.30162
  104.0000, 0.3340172796, 1.03920, 1.29957
  112.0000, 0.3336641753, 1.03916, 1.29736
  120.0000, 0.3333083546, 1.03912, 1.29500
  128.0000, 0.3329545902, 1.03908, 1.29247
  136.0000, 0.3326078996, 1.03904, 1.28980
  144.0000, 0.3322735284, 1.03900, 1.28697
  152.0000, 0.3319569341, 1.03896, 1.28399
  160.0000, 0.3316637678, 1.03892, 1.28086
  168.0000, 0.3313998561, 1.03889, 1.27759
  176.0000, 0.3311711820, 1.03886, 1.27417
  184.0000, 0.3309838655, 1.03884, 1.27061
  192.0000, 0.3308441428, 1.03882, 1.26691
  200.0000, 0.3307583465, 1.03881, 1.26307
  208.0000, 0.3307328839, 1.03881, 1.25910
  216.0000, 0.3307742158, 1.03882, 1.25499
  224.0000, 0.3308888349, 1.03883, 1.25075
  232.0000, 0.3310832438, 1.03885, 1.24638
  240.0000, 0.3313639326, 1.03889, 1.24189
  248.0000, 0.3317373573, 1.03893, 1.23728
  256.0000, 0.3322099170, 1.03899, 1.23254
  264.0000, 0.3327879323, 1.03906, 1.22769
  272.0000, 0.3334776228, 1.03914, 1.22273
  280.0000, 0.3342850857, 1.03924, 1.21765
  288.0000, 0.3352162740, 1.03935, 1.21247
  296.0000, 0.3362769753, 1.03947, 1.20718
  304.0000, 0.3374727911, 1.03962, 1.20179
  312.0000, 0.3388091167, 1.03978, 1.19630
